"season","player_id","first_name","last_name","primary_position","hit_count"
"2010",8466285,"Brian","Campbell","D",30
"2010",8466309,"Mike","Mottau","D",17
"2010",8466333,"Andrew","Ference","D",106
"2010",8466371,"John","Madden","C",41
"2010",8466378,"Martin","St. Louis","RW",45
"2010",8466392,"Todd","White","C",1
"2010",8466393,"Pascal","Dupuis","RW",137
"2010",8466398,"Tom","Kostopoulos","RW",121
"2010",8467096,"Dan","Boyle","D",67
"2010",8467304,"Andy","Sutton","D",61
"2010",8467329,"Vincent","Lecavalier","C",109
"2010",8467330,"David","Legwand","C",46
"2010",8467331,"Brad","Stuart","D",145
"2010",8467332,"Bryan","Allen","D",116
"2010",8467334,"Manny","Malhotra","C",61
"2010",8467336,"Mike","Rupp","LW",200
"2010",8467338,"Alex","Tanguay","LW",31
"2010",8467344,"Robyn","Regehr","D",179
"2010",8467346,"Simon","Gagne","LW",65
"2010",8467351,"Scott","Gomez","C",37
"2010",8467353,"Nik","Antropov","C",59
"2010",8467361,"Blair","Betts","C",87
"2010",8467365,"John","Erskine","D",188
"2010",8467370,"Mike","Fisher","C",158
"2010",8467371,"Mike","Ribeiro","C",95
"2010",8467389,"Brad","Richards","C",20
"2010",8467393,"Jarkko","Ruutu","LW",127
"2010",8467396,"Erik","Cole","LW",225
"2010",8467400,"Francois","Beauchemin","D",127
"2010",8467407,"Brian","Gionta","RW",96
"2010",8467408,"Matt","Walker","D",5
"2010",8467412,"Alexei","Ponikarovsky","LW",143
"2010",8467423,"Shawn","Horcoff","C",32
"2010",8467428,"Krys","Barch","RW",53
"2010",8467436,"Jay","Leach","D",5
"2010",8467439,"Jaroslav","Spacek","D",67
"2010",8467452,"Rob","Scuderi","D",67
"2010",8467463,"Mikael","Samuelsson","RW",93
"2010",8467466,"Trent","Hunter","RW",36
"2010",8467478,"Kent","Huskins","D",19
"2010",8467493,"Chris","Neil","RW",255
"2010",8467496,"Andrei","Markov","D",2
"2010",8467502,"Ales","Kotalik","RW",38
"2010",8467514,"Pavel","Datsyuk","C",79
"2010",8467519,"Karlis","Skrastins","D",54
"2010",8467543,"Toby","Petersen","C",56
"2010",8467545,"Michael","Ryder","RW",93
"2010",8467579,"Trevor","Gillies","LW",44
"2010",8467580,"Mark","Eaton","D",30
"2010",8467831,"Jeff","Halpern","C",42
"2010",8467844,"Jason","Blake","LW",75
"2010",8467856,"Brian","Rafalski","D",59
"2010",8467875,"Daniel","Sedin","LW",24
"2010",8467876,"Henrik","Sedin","C",28
"2010",8467878,"Tim","Connolly","C",28
